"1","القاهرة","Cairo","1"
"2","الجيزة","Giza","1"
"3","الأسكندرية","Alexandria","1"
"4","الدقهلية","Dakahlia","1"
"5","البحر الأحمر","Red Sea","1"
"6","البحيرة","Beheira","1"
"7","الفيوم","Fayoum","1"
"8","الغربية","Gharbiya","1"
"9","الإسماعلية","Ismailia","1"
"10","المنوفية","Monofia","1"
"11","المنيا","Minya","1"
"12","القليوبية","Qaliubiya","1"
"13","الوادي الجديد","New Valley","1"
"14","السويس","Suez","1"
"15","اسوان","Aswan","1"
"16","اسيوط","Assiut","1"
"17","بني سويف","Beni Suef","1"
"18","بورسعيد","Port Said","1"
"19","دمياط","Damietta","1"
"20","الشرقية","Sharkia","1"
"21","جنوب سيناء","South Sinai","1"
"22","كفر الشيخ","Kafr Al sheikh","1"
"23","مطروح","Matrouh","1"
"24","الأقصر","Luxor","1"
"25","قنا","Qena","1"
"26","شمال سيناء","North Sinai","1"
"27","سوهاج","Sohag","1"
